date,spx,vix,vix3m,rv_30,vrp,slope,log_ret,rv_daily,iv_daily,regime,regime_label
2018-07-09,2784.169921875,12.6899995803833,14.869999885559082,0.1027140203734737,0.0241859754303592,0.1717888398157011,0.0087842907853415,7.716376460143568e-05,6.390321005957474e-05,2,calm
2018-07-10,2793.840087890625,12.640000343322754,14.710000038146973,0.1026026441298786,0.0237973593033489,0.1637657941930138,0.0034672493188218,1.2021817838870644e-05,6.340063836476166e-05,2,calm
2018-07-11,2774.02001953125,13.630000114440918,15.380000114440918,0.098577225446792,0.0377227756976171,0.1283932491053968,-0.0071194863719165,5.06870861999048e-05,7.372099330145216e-05,2,calm
2018-07-12,2798.2900390625,12.579999923706056,14.760000228881836,0.0951792006096611,0.0306207986273994,0.1732909633065843,0.0087109915801719,7.588137430982573e-05,6.280015796843031e-05,2,calm
2018-07-13,2801.31005859375,12.18000030517578,14.539999961853027,0.0922616867155244,0.0295383163362333,0.1937602296836058,0.0010786555366086,1.1634977666564892e-06,5.887000295003257e-05,2,calm
2018-07-16,2798.429931640625,12.829999923706056,14.850000381469728,0.0877950985504247,0.0405049006866358,0.1574435284314621,-0.0010286646208985,1.0581509022883337e-06,6.532099128662596e-05,2,calm
2018-07-17,2809.550048828125,12.0600004196167,14.399999618530272,0.0876225459545003,0.0329774582416666,0.1940297775701026,0.0039658243434434,1.5727762723048525e-05,5.771571830204562e-05,2,calm
2018-07-18,2815.6201171875,12.100000381469728,14.390000343322754,0.0877169072786116,0.0332830965360856,0.189256189227894,0.0021581820767374,4.657749876350827e-06,5.8099210012526806e-05,2,calm
2018-07-19,2804.489990234375,12.869999885559082,14.970000267028809,0.0855966693236342,0.0431033295319566,0.163170194261311,-0.0039608268490495,1.5688149328151437e-05,6.572892740249636e-05,2,calm
2018-07-20,2801.830078125,12.859999656677246,15.079999923706056,0.0856255112179977,0.0429744853487747,0.1726283301940936,-0.0009488977712743,9.00406980329462e-07,6.562682189275352e-05,2,calm
2018-07-23,2806.97998046875,12.619999885559082,14.859999656677246,0.0853481862002573,0.0408518126553334,0.1774960215080009,0.0018363623432315,3.3722266556387542e-06,6.320015758393304e-05,2,calm
2018-07-24,2820.39990234375,12.40999984741211,14.699999809265137,0.0862939592374673,0.0378060392366537,0.1845286051579257,0.0047695188860535,2.2748310404421608e-05,6.111432389395579e-05,2,calm
2018-07-25,2846.070068359375,12.289999961853027,14.550000190734863,0.0897774683815259,0.0331225312370043,0.1838893601217785,0.0090604350703727,8.20914836644398e-05,5.9938134548550565e-05,2,calm
2018-07-26,2837.43994140625,12.140000343322754,14.399999618530272,0.0893659527838416,0.0320340506493859,0.1861613847853442,-0.0030369027488673,9.222778306078126e-06,5.848397156185579e-05,2,calm
2018-07-27,2818.820068359375,13.029999732971191,15.0,0.0916610922636035,0.0386389050661083,0.1511895861397378,-0.0065838346448454,4.33468786306673e-05,6.737337025445609e-05,2,calm
2018-07-30,2802.60009765625,14.260000228881836,15.65999984741211,0.09333443000746,0.0492655722813583,0.0981766897657372,-0.0057707893155871,3.330200932489472e-05,8.069349465385318e-05,2,calm
2018-07-31,2816.2900390625,12.829999923706056,14.869999885559082,0.0939720688658161,0.0343279303712444,0.1590023362419283,0.004872837219303,2.3744542565825504e-05,6.532099128662596e-05,2,calm
2018-08-01,2813.360107421875,13.149999618530272,15.220000267028809,0.0931126777976168,0.0383873183876858,0.1574145025511334,-0.0010408930675711,1.0834583781176445e-06,6.862003570132791e-05,2,calm
2018-08-02,2827.219970703125,12.1899995803833,14.760000228881836,0.0939022502524326,0.0279977455514003,0.2108286084467383,0.0049143495822087,2.4150831816154823e-05,5.896670228958137e-05,2,calm
2018-08-03,2840.35009765625,11.640000343322754,14.489999771118164,0.0920899932710031,0.0243100101622244,0.24484530444454,0.0046334320653479,2.146869270419492e-05,5.376571745736263e-05,2,calm
2018-08-06,2850.39990234375,11.270000457763672,14.229999542236328,0.092340124744421,0.0203598798332156,0.2626440962061873,0.0035319826508016,1.2474901445563682e-05,5.040194853888626e-05,2,calm
2018-08-07,2858.449951171875,10.93000030517578,13.93000030517578,0.0807926102134911,0.0285073928382666,0.2744739173135598,0.0028202017464857,7.953537890881375e-06,4.740670899648517e-05,2,calm
2018-08-08,2857.699951171875,10.850000381469728,13.960000038146973,0.0809726356559873,0.0275273681587099,0.286635902980122,-0.0002624143932951,6.886131380843959e-08,4.671528106265605e-05,2,calm
2018-08-09,2853.580078125,11.270000457763672,14.130000114440918,0.0755609693160828,0.0371390352615538,0.253771032875784,-0.0014427146770399,2.081425639346486e-06,5.040194853888626e-05,2,calm
2018-08-10,2833.280029296875,13.15999984741211,15.220000267028809,0.0787319224115156,0.0528680760626054,0.1565349881080579,-0.0071393122632444,5.096977959211293e-05,6.872444285074871e-05,2,calm
2018-08-13,2821.929931640625,14.779999732971191,16.209999084472656,0.0802726143627088,0.067527382967003,0.0967523259362058,-0.0040140376659802,1.6112498383908305e-05,8.668586988358274e-05,2,calm
2018-08-14,2839.9599609375,13.3100004196167,15.350000381469728,0.0814853907962225,0.0516146133999444,0.1532682116858849,0.0063689300164174,4.056326955402282e-05,7.030004411515742e-05,2,calm
2018-08-15,2818.3701171875,14.640000343322754,16.190000534057617,0.0836246405127241,0.0627753629205033,0.1058743274853687,-0.0076312085813788,5.823534441250967e-05,8.505143256051204e-05,2,calm
2018-08-16,2840.68994140625,13.449999809265137,15.510000228881836,0.0831185376705258,0.0513814604221255,0.1531598846713478,0.0078882145526381,6.222392882845166e-05,7.17867043131874e-05,2,calm
2018-08-17,2850.1298828125,12.640000343322754,15.170000076293944,0.0805468681571155,0.045853135276112,0.2001582012857851,0.003317606375263,1.1006512061186292e-05,6.340063836476166e-05,2,calm
2018-08-20,2857.050048828125,12.489999771118164,15.0,0.0772999468914207,0.0476000508197609,0.200960790622747,0.0024250749021282,5.880988280932492e-06,6.1904799318465e-05,2,calm
2018-08-21,2862.9599609375,12.859999656677246,15.1899995803833,0.076995600943361,0.0516043956234114,0.1811819584688914,0.002066399954627,4.270008772482707e-06,6.562682189275352e-05,2,calm
2018-08-22,2861.820068359375,12.25,15.079999923706056,0.0733553274708242,0.0491446725291757,0.2310204019351882,-0.0003982310542435,1.5858797256389373e-07,5.95486111111111e-05,2,calm
